customer_id,name,email,region,signup_date,is_valid_email
103,Rohan Sharma,rohan.sharma103@example.com,West,2022-01-08,True
6,Meera Singh,meera.singh6@example.com,West,2022-01-20,True
68,Kabir Iyer,kabir.iyer68@example.com,North,2022-01-24,True
191,Karan Joshi,karan.joshi191@example.com,West,2022-02-08,True
90,Rohan Das,rohan.das90@example.com,West,2022-02-17,True
102,Ishaan Bose,ishaan.bose102@example.com,East,2022-02-23,True
112,Sonia Kapoor,sonia.kapoor112@example.com,East,2022-02-26,True
74,Anaya Malhotra,anaya.malhotra74@example.com,Unknown,2022-02-28,True
70,Aditya Nair,aditya.nair70@example.com,West,2022-03-02,True
147,Aarav Malhotra,aarav.malhotra147@example.com,East,2022-03-09,True
46,Dev Patel,,West,2022-03-14,False
187,Ishaan Patel,ishaan.patel187@example.com,North,2022-03-21,True
109,Aditya Khan,aditya.khan109@example.com,South,2022-04-13,True
116,Rahul Mehta,rahul.mehta116@example.com,West,2022-04-19,True
108,Karan Nair,karan.nair108@example.com,North,2022-04-22,True
44,Kabir Mehta,kabir.mehta44@example.com,West,2022-04-26,True
111,Arjun Mehta,invalid_email,Unknown,2022-04-27,False
8,Karan Malhotra,karan.malhotra8@example.com,East,2022-04-30,True
29,Neha Nair,bad.domain@,East,2022-05-05,True
66,Diya Nair,diya.nair66@example.com,West,2022-05-07,True
25,Sonia Kapoor,user@invalid,West,2022-05-11,False
198,Anaya Gupta,anaya.gupta198@example.com,East,2022-05-25,True
132,Rahul Iyer,rahul.iyer132@example.com,West,2022-05-28,True
148,Maya Malhotra,maya.malhotra148@example.com,South,2022-06-03,True
56,Aarav Gupta,,North,2022-06-07,False
50,Sonia Sharma,sonia.sharma50@example.com,Unknown,2022-06-10,True
64,Dev Chopra,dev.chopra64@example.com,South,2022-06-18,True
61,Aisha Joshi,aisha.joshi61@example.com,West,2022-06-20,True
151,Meera Das,meera.das151@example.com,South,2022-06-30,True
60,Karan Nair,,South,2022-07-01,False
72,Ishaan Sharma,ishaan.sharma72@example.com,West,2022-07-11,True
189,Maya Chopra,maya.chopra189@example.com,North,2022-07-13,True
92,Rohan Khan,rohan.khan92@example.com,West,2022-07-18,True
163,Riya Singh,riya.singh163@example.com,South,2022-07-20,True
51,Sonia Gupta,sonia.gupta51@example.com,East,2022-07-30,True
71,Sonia Khan,sonia.khan71@example.com,South,2022-08-02,True
181,Aisha Sharma,,South,2022-08-10,False
192,Priya Gupta,bad.domain@,Unknown,2022-08-10,True
95,Meera Nair,,West,2022-09-07,False
14,Sonia Reddy,sonia.reddy14@example.com,North,2022-09-12,True
154,Arjun Reddy,arjun.reddy154@example.com,East,2022-09-12,True
165,Riya Patel,riya.patel165@example.com,West,2022-09-16,True
94,Kabir Khan,kabir.khan94@example.com,West,2022-09-17,True
38,Rohan Reddy,rohan.reddy38@example.com,South,2022-09-17,True
121,Riya Khan,riya.khan121@example.com,Unknown,2022-09-20,True
36,Vihaan Kapoor,vihaan.kapoor36@example.com,South,2022-09-29,True
145,Dev Chopra,,South,2022-10-01,False
96,Arjun Das,,West,2022-10-01,False
11,Neha Singh,neha.singh11@example.com,West,2022-10-02,True
146,Meera Singh,meera.singh146@example.com,North,2022-10-20,True
37,Meera Mehta,meera.mehta37@example.com,South,2022-10-22,True
33,Vihaan Sharma,vihaan.sharma33@example.com,South,2022-10-28,True
101,Rohan Iyer,invalid_email,North,2022-11-06,False
62,Nisha Gupta,nisha.gupta62@example.com,South,2022-11-09,True
188,Kabir Bose,kabir.bose188@example.com,East,2022-11-12,True
9,Maya Singh,maya.singh9@example.com,West,2022-11-12,True
23,Ishaan Kapoor,ishaan.kapoor23@example.com,East,2022-11-14,True
166,Rohan Das,rohan.das166@example.com,West,2022-11-22,True
54,Aditya Khan,aditya.khan54@example.com,West,2022-12-07,True
82,Riya Das,riya.das82@example.com,West,2022-12-15,True
53,Kabir Gupta,kabir.gupta53@example.com,North,2022-12-16,True
123,Karan Mehta,karan.mehta123@example.com,West,2022-12-18,True
